minute,country,nb_anomalies,total_amount
2025-12-02T21:30:00.000+01:00,IR,1,
2025-12-02T21:30:00.000+01:00,RU,1,
2025-12-02T22:39:00.000+01:00,DE,3,18803.35
2025-12-02T22:39:00.000+01:00,ES,4,29104.16
2025-12-02T22:39:00.000+01:00,FR,9,66266.98
2025-12-02T22:39:00.000+01:00,IR,7,25640.339999999997
2025-12-02T22:39:00.000+01:00,IT,5,40620.95
2025-12-02T22:39:00.000+01:00,RU,10,57332.5
2025-12-02T22:40:00.000+01:00,DE,4,25711.72
2025-12-02T22:40:00.000+01:00,ES,9,60267.880000000005
2025-12-02T22:40:00.000+01:00,FR,1,6632.01
2025-12-02T22:40:00.000+01:00,IR,13,69857.53
2025-12-02T22:40:00.000+01:00,IT,3,24583.13
2025-12-02T22:40:00.000+01:00,RU,10,27066.629999999997
2025-12-02T22:41:00.000+01:00,DE,1,8195.22
2025-12-02T22:41:00.000+01:00,ES,8,58702.380000000005
2025-12-02T22:41:00.000+01:00,FR,6,46486.53
2025-12-02T22:41:00.000+01:00,IR,10,57888.4
2025-12-02T22:41:00.000+01:00,IT,4,34034.61
2025-12-02T22:41:00.000+01:00,RU,16,78400.75000000001
2025-12-02T22:42:00.000+01:00,DE,4,29019.85
2025-12-02T22:42:00.000+01:00,ES,6,41915.58
2025-12-02T22:42:00.000+01:00,FR,4,26995.08
2025-12-02T22:42:00.000+01:00,IR,12,44723.81
2025-12-02T22:42:00.000+01:00,IT,4,28732.22
2025-12-02T22:42:00.000+01:00,RU,11,69375.02000000002
2025-12-02T22:43:00.000+01:00,DE,7,49906.229999999996
2025-12-02T22:43:00.000+01:00,ES,6,41543.82000000001
2025-12-02T22:43:00.000+01:00,FR,3,21851.58
2025-12-02T22:43:00.000+01:00,IR,12,68663.65999999999
2025-12-02T22:43:00.000+01:00,IT,7,50362.020000000004
2025-12-02T22:43:00.000+01:00,RU,7,33394.15
2025-12-02T22:44:00.000+01:00,DE,7,52429.78999999999
2025-12-02T22:44:00.000+01:00,ES,7,53281.83
2025-12-02T22:44:00.000+01:00,FR,5,40393.119999999995
2025-12-02T22:44:00.000+01:00,IR,6,34638.25
2025-12-02T22:44:00.000+01:00,IT,4,31634.71
2025-12-02T22:44:00.000+01:00,RU,10,64252.64
2025-12-02T22:45:00.000+01:00,DE,4,29671.68
2025-12-02T22:45:00.000+01:00,ES,7,55983.45
2025-12-02T22:45:00.000+01:00,FR,7,57038.66
2025-12-02T22:45:00.000+01:00,IR,13,78856.29999999999
2025-12-02T22:45:00.000+01:00,IT,4,27797.559999999998
2025-12-02T22:45:00.000+01:00,RU,9,45814.01
2025-12-02T22:46:00.000+01:00,DE,3,21375.010000000002
2025-12-02T22:46:00.000+01:00,ES,1,5258.72
2025-12-02T22:46:00.000+01:00,FR,6,42501.19
2025-12-02T22:46:00.000+01:00,IR,9,33216.05
2025-12-02T22:46:00.000+01:00,IT,3,17456.05
2025-12-02T22:46:00.000+01:00,RU,8,30374.86
2025-12-02T22:47:00.000+01:00,DE,2,17486.45
2025-12-02T22:47:00.000+01:00,ES,9,71409.17
2025-12-02T22:47:00.000+01:00,FR,4,29583.22
